Metal,Charge,AtomicWeight
Ag1,1,107.87
Ca2,2,40.08
Co2,2,58.93
Fe2,2,55.85
Fe3,3,55.85
Mg2,2,24.31
Mn2,2,54.94
Ni2,2,58.69
Pb2,2,207.2
